dataset,pred_len,lr,dropout,train_epochs,batch_size,mse,mae,mape,msmape,tag
electricity,96,0.0001,0.0,10,16,0.1469775140285492,0.24794341623783112,2.2668092250823975,37.22523748874664,electricity_M_in321_pl96_lr0p0001_do0p0_ep10_bs16
electricity,96,0.0001,0.05,10,16,0.1469775140285492,0.24794341623783112,2.2668092250823975,37.22523748874664,electricity_M_in321_pl96_lr0p0001_do0p05_ep10_bs16
electricity,96,0.0001,0.1,10,16,0.1469775140285492,0.24794341623783112,2.2668092250823975,37.22523748874664,electricity_M_in321_pl96_lr0p0001_do0p1_ep10_bs16
electricity,96,0.0001,0.2,10,16,0.1469775140285492,0.24794341623783112,2.2668092250823975,37.22523748874664,electricity_M_in321_pl96_lr0p0001_do0p2_ep10_bs16
electricity,96,0.0005,0.0,10,16,0.1405922919511795,0.23820996284484863,2.153593063354492,35.677823424339294,electricity_M_in321_pl96_lr0p0005_do0p0_ep10_bs16
electricity,96,0.0005,0.05,10,16,0.1405922919511795,0.23820996284484863,2.153593063354492,35.677823424339294,electricity_M_in321_pl96_lr0p0005_do0p05_ep10_bs16
electricity,96,0.0005,0.1,10,16,0.1405922919511795,0.23820996284484863,2.153593063354492,35.677823424339294,electricity_M_in321_pl96_lr0p0005_do0p1_ep10_bs16
electricity,96,0.0005,0.2,10,16,0.1405922919511795,0.23820996284484863,2.153593063354492,35.677823424339294,electricity_M_in321_pl96_lr0p0005_do0p2_ep10_bs16
electricity,96,0.001,0.0,10,16,0.14007581770420074,0.23739677667617798,2.148437976837158,35.54431200027466,electricity_M_in321_pl96_lr0p001_do0p0_ep10_bs16
electricity,96,0.001,0.05,10,16,0.14007581770420074,0.23739677667617798,2.148437976837158,35.54431200027466,electricity_M_in321_pl96_lr0p001_do0p05_ep10_bs16
electricity,96,0.001,0.1,10,16,0.14007581770420074,0.23739677667617798,2.148437976837158,35.54431200027466,electricity_M_in321_pl96_lr0p001_do0p1_ep10_bs16
electricity,96,0.001,0.2,10,16,0.14007581770420074,0.23739677667617798,2.148437976837158,35.54431200027466,electricity_M_in321_pl96_lr0p001_do0p2_ep10_bs16
electricity,96,0.005,0.0,10,16,0.14011581242084503,0.2376045137643814,2.156298875808716,35.56027412414551,electricity_M_in321_pl96_lr0p005_do0p0_ep10_bs16
electricity,96,0.005,0.05,10,16,0.14011581242084503,0.2376045137643814,2.156298875808716,35.56027412414551,electricity_M_in321_pl96_lr0p005_do0p05_ep10_bs16
electricity,96,0.005,0.1,10,16,0.14011581242084503,0.2376045137643814,2.156298875808716,35.56027412414551,electricity_M_in321_pl96_lr0p005_do0p1_ep10_bs16
electricity,96,0.005,0.2,10,16,0.14011581242084503,0.2376045137643814,2.156298875808716,35.56027412414551,electricity_M_in321_pl96_lr0p005_do0p2_ep10_bs16
electricity,192,0.0001,0.0,10,16,0.16089950501918793,0.2610689401626587,2.4306387901306152,38.95191550254822,electricity_M_in321_pl192_lr0p0001_do0p0_ep10_bs16
electricity,192,0.0001,0.05,10,16,0.16089950501918793,0.2610689401626587,2.4306387901306152,38.95191550254822,electricity_M_in321_pl192_lr0p0001_do0p05_ep10_bs16
electricity,192,0.0001,0.1,10,16,0.16089950501918793,0.2610689401626587,2.4306387901306152,38.95191550254822,electricity_M_in321_pl192_lr0p0001_do0p1_ep10_bs16
